n_estimators,max_features,min_samples_leaf,oob_score,accuracy,precision,recall,f1
200,sqrt,1,0.9861910241657077,0.9861910241657077,1.0,0.8651685393258427,0.927710843373494
200,sqrt,2,0.9815880322209436,0.9815880322209436,0.9866666666666667,0.8314606741573034,0.9024390243902439
200,sqrt,5,0.9804372842347526,0.9804372842347526,1.0,0.8089887640449438,0.8944099378881988
200,49,1,0.9838895281933256,0.9850402761795167,0.9871794871794872,0.8651685393258427,0.9221556886227545
200,49,2,0.9838895281933256,0.9838895281933256,0.987012987012987,0.8539325842696629,0.9156626506024096
200,49,5,0.9850402761795167,0.9850402761795167,0.9871794871794872,0.8651685393258427,0.9221556886227545
200,123,1,0.9827387802071347,0.9827387802071347,0.9743589743589743,0.8539325842696629,0.9101796407185628
200,123,2,0.9850402761795167,0.9850402761795167,0.9871794871794872,0.8651685393258427,0.9221556886227545
200,123,5,0.9850402761795167,0.9850402761795167,0.9871794871794872,0.8651685393258427,0.9221556886227545
200,0.1,1,0.9861910241657077,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
200,0.1,2,0.9838895281933256,0.9838895281933256,0.9746835443037974,0.8651685393258427,0.9166666666666666
200,0.1,5,0.9827387802071347,0.9827387802071347,0.9868421052631579,0.8426966292134831,0.9090909090909091
500,sqrt,1,0.9804372842347526,0.9804372842347526,0.9864864864864865,0.8202247191011236,0.8957055214723927
500,sqrt,2,0.9792865362485615,0.9792865362485615,0.9863013698630136,0.8089887640449438,0.8888888888888888
500,sqrt,5,0.9792865362485615,0.9792865362485615,1.0,0.797752808988764,0.8875
500,49,1,0.9850402761795167,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
500,49,2,0.9815880322209436,0.9815880322209436,0.9866666666666667,0.8314606741573034,0.9024390243902439
500,49,5,0.9815880322209436,0.9815880322209436,0.9866666666666667,0.8314606741573034,0.9024390243902439
500,123,1,0.9850402761795167,0.9850402761795167,0.975,0.8764044943820225,0.9230769230769231
500,123,2,0.9850402761795167,0.9850402761795167,0.9871794871794872,0.8651685393258427,0.9221556886227545
500,123,5,0.9850402761795167,0.9850402761795167,0.9871794871794872,0.8651685393258427,0.9221556886227545
500,0.1,1,0.9861910241657077,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
500,0.1,2,0.9861910241657077,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
500,0.1,5,0.9815880322209436,0.9815880322209436,0.9866666666666667,0.8314606741573034,0.9024390243902439
1000,sqrt,1,0.9838895281933256,0.9838895281933256,0.987012987012987,0.8539325842696629,0.9156626506024096
1000,sqrt,2,0.9827387802071347,0.9827387802071347,0.9868421052631579,0.8426966292134831,0.9090909090909091
1000,sqrt,5,0.9804372842347526,0.9804372842347526,1.0,0.8089887640449438,0.8944099378881988
1000,49,1,0.9850402761795167,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
1000,49,2,0.9838895281933256,0.9838895281933256,0.987012987012987,0.8539325842696629,0.9156626506024096
1000,49,5,0.9838895281933256,0.9838895281933256,0.987012987012987,0.8539325842696629,0.9156626506024096
1000,123,1,0.9873417721518988,0.9873417721518988,0.9875,0.8876404494382022,0.9349112426035503
1000,123,2,0.9861910241657077,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
1000,123,5,0.9861910241657077,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
1000,0.1,1,0.9873417721518988,0.9873417721518988,0.9875,0.8876404494382022,0.9349112426035503
1000,0.1,2,0.9861910241657077,0.9861910241657077,0.9873417721518988,0.8764044943820225,0.9285714285714286
1000,0.1,5,0.9838895281933256,0.9838895281933256,0.987012987012987,0.8539325842696629,0.9156626506024096
